Days Until Departure,Total Price,Airline,Aircraft,Departure Airport,Arrival Airport,Departure Time,Cabin
1,9918.0,AI,32N,DEL,MAA,2025-11-08T02:30:00,ECONOMY
1,9918.0,AI,32N,DEL,MAA,2025-11-08T07:45:00,ECONOMY
1,9918.0,AI,32N,DEL,MAA,2025-11-08T09:55:00,ECONOMY
1,9918.0,AI,321,DEL,MAA,2025-11-08T21:00:00,ECONOMY
1,9918.0,AI,32N,DEL,MAA,2025-11-08T06:00:00,ECONOMY
1,9918.0,AI,32N,DEL,MAA,2025-11-08T12:15:00,ECONOMY
1,9918.0,AI,32N,DEL,MAA,2025-11-08T13:40:00,ECONOMY
1,9918.0,AI,77W,DEL,MAA,2025-11-08T16:15:00,ECONOMY
1,9918.0,AI,32N,DEL,MAA,2025-11-08T20:00:00,ECONOMY
1,10188.0,AI,32N,DEL,MAA,2025-11-08T17:55:00,ECONOMY
2,9918.0,AI,32N,DEL,MAA,2025-11-09T02:30:00,ECONOMY
2,9918.0,AI,321,DEL,MAA,2025-11-09T21:00:00,ECONOMY
2,10188.0,AI,32N,DEL,MAA,2025-11-09T09:55:00,ECONOMY
2,10188.0,AI,32N,DEL,MAA,2025-11-09T13:40:00,ECONOMY
2,10188.0,AI,77W,DEL,MAA,2025-11-09T16:15:00,ECONOMY
2,10687.0,AI,320,DEL,JAI,2025-11-09T19:10:00,ECONOMY
2,10687.0,AI,320,DEL,JAI,2025-11-09T14:10:00,ECONOMY
2,10968.0,AI,32N,DEL,MAA,2025-11-09T07:45:00,ECONOMY
2,10968.0,AI,32N,DEL,MAA,2025-11-09T06:00:00,ECONOMY
2,10968.0,AI,32N,DEL,MAA,2025-11-09T12:15:00,ECONOMY
3,9918.0,AI,32N,DEL,MAA,2025-11-10T02:30:00,ECONOMY
3,9918.0,AI,321,DEL,MAA,2025-11-10T21:00:00,ECONOMY
3,9918.0,AI,32N,DEL,MAA,2025-11-10T12:15:00,ECONOMY
3,9918.0,AI,32N,DEL,MAA,2025-11-10T13:40:00,ECONOMY
3,9918.0,AI,77W,DEL,MAA,2025-11-10T16:15:00,ECONOMY
3,9918.0,AI,32N,DEL,MAA,2025-11-10T20:00:00,ECONOMY
3,10188.0,AI,32N,DEL,MAA,2025-11-10T17:55:00,ECONOMY
3,10188.0,AI,32N,DEL,MAA,2025-11-10T07:45:00,ECONOMY
3,10188.0,AI,32N,DEL,MAA,2025-11-10T09:55:00,ECONOMY
3,10188.0,AI,32N,DEL,MAA,2025-11-10T06:00:00,ECONOMY
4,9918.0,AI,32N,DEL,MAA,2025-11-11T17:55:00,ECONOMY
4,9918.0,AI,32N,DEL,MAA,2025-11-11T02:30:00,ECONOMY
4,9918.0,AI,32N,DEL,MAA,2025-11-11T07:45:00,ECONOMY
4,9918.0,AI,32N,DEL,MAA,2025-11-11T09:55:00,ECONOMY
4,9918.0,AI,321,DEL,MAA,2025-11-11T21:00:00,ECONOMY
4,9918.0,AI,32N,DEL,MAA,2025-11-11T06:00:00,ECONOMY
4,9918.0,AI,32N,DEL,MAA,2025-11-11T12:15:00,ECONOMY
4,9918.0,AI,32N,DEL,MAA,2025-11-11T13:40:00,ECONOMY
4,9918.0,AI,77W,DEL,MAA,2025-11-11T16:15:00,ECONOMY
4,10111.0,AI,320,DEL,GOX,2025-11-11T07:10:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T17:55:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T02:30:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T09:55:00,ECONOMY
5,9918.0,AI,321,DEL,MAA,2025-11-12T21:00:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T06:00:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T12:15:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T13:40:00,ECONOMY
5,9918.0,AI,77W,DEL,MAA,2025-11-12T16:15:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T07:45:00,ECONOMY
5,9918.0,AI,32N,DEL,MAA,2025-11-12T20:00:00,ECONOMY
6,9678.0,AI,320,DEL,GOX,2025-11-13T07:10:00,ECONOMY
6,9918.0,AI,32N,DEL,MAA,2025-11-13T17:55:00,ECONOMY
6,9918.0,AI,32N,DEL,MAA,2025-11-13T02:30:00,ECONOMY
6,9918.0,AI,32N,DEL,MAA,2025-11-13T07:45:00,ECONOMY
6,9918.0,AI,32N,DEL,MAA,2025-11-13T09:55:00,ECONOMY
6,9918.0,AI,321,DEL,MAA,2025-11-13T21:00:00,ECONOMY
6,9918.0,AI,32N,DEL,MAA,2025-11-13T06:00:00,ECONOMY
6,9918.0,AI,32N,DEL,MAA,2025-11-13T12:15:00,ECONOMY
6,9918.0,AI,32N,DEL,MAA,2025-11-13T13:40:00,ECONOMY
6,9918.0,AI,77W,DEL,MAA,2025-11-13T16:15:00,ECONOMY
7,9918.0,AI,32N,DEL,MAA,2025-11-14T02:30:00,ECONOMY
7,9918.0,AI,32N,DEL,MAA,2025-11-14T09:55:00,ECONOMY
7,9918.0,AI,321,DEL,MAA,2025-11-14T21:00:00,ECONOMY
7,9918.0,AI,32N,DEL,MAA,2025-11-14T06:00:00,ECONOMY
7,9918.0,AI,32N,DEL,MAA,2025-11-14T13:40:00,ECONOMY
7,9918.0,AI,77W,DEL,MAA,2025-11-14T16:15:00,ECONOMY
7,9918.0,AI,32N,DEL,MAA,2025-11-14T20:00:00,ECONOMY
7,9918.0,AI,32N,DEL,MAA,2025-11-14T07:45:00,ECONOMY
7,10188.0,AI,32N,DEL,MAA,2025-11-14T17:55:00,ECONOMY
7,10968.0,AI,32N,DEL,MAA,2025-11-14T12:15:00,ECONOMY
8,9918.0,AI,32N,DEL,MAA,2025-11-15T02:30:00,ECONOMY
8,9918.0,AI,32N,DEL,MAA,2025-11-15T09:55:00,ECONOMY
8,9918.0,AI,321,DEL,MAA,2025-11-15T21:00:00,ECONOMY
8,9918.0,AI,32N,DEL,MAA,2025-11-15T06:00:00,ECONOMY
8,9918.0,AI,32N,DEL,MAA,2025-11-15T12:15:00,ECONOMY
8,9918.0,AI,32N,DEL,MAA,2025-11-15T13:40:00,ECONOMY
8,9918.0,AI,77W,DEL,MAA,2025-11-15T16:15:00,ECONOMY
8,9918.0,AI,32N,DEL,MAA,2025-11-15T07:45:00,ECONOMY
8,9918.0,AI,32N,DEL,MAA,2025-11-15T20:00:00,ECONOMY
8,10188.0,AI,32N,DEL,MAA,2025-11-15T17:55:00,ECONOMY
9,10188.0,AI,32N,DEL,MAA,2025-11-16T09:55:00,ECONOMY
9,10188.0,AI,32N,DEL,MAA,2025-11-16T13:40:00,ECONOMY
9,10188.0,AI,77W,DEL,MAA,2025-11-16T16:15:00,ECONOMY
9,10968.0,AI,32N,DEL,MAA,2025-11-16T02:30:00,ECONOMY
9,10968.0,AI,32N,DEL,MAA,2025-11-16T07:45:00,ECONOMY
9,10968.0,AI,321,DEL,MAA,2025-11-16T21:00:00,ECONOMY
9,10968.0,AI,32N,DEL,MAA,2025-11-16T06:00:00,ECONOMY
9,10968.0,AI,32N,DEL,MAA,2025-11-16T12:15:00,ECONOMY
9,10968.0,AI,32N,DEL,MAA,2025-11-16T20:00:00,ECONOMY
9,11112.0,AI,320,DEL,JAI,2025-11-16T19:10:00,ECONOMY
10,9918.0,AI,32N,DEL,MAA,2025-11-17T02:30:00,ECONOMY
10,9918.0,AI,321,DEL,MAA,2025-11-17T21:00:00,ECONOMY
10,9918.0,AI,32N,DEL,MAA,2025-11-17T12:15:00,ECONOMY
10,9918.0,AI,32N,DEL,MAA,2025-11-17T13:40:00,ECONOMY
10,9918.0,AI,77W,DEL,MAA,2025-11-17T16:15:00,ECONOMY
10,10188.0,AI,32N,DEL,MAA,2025-11-17T17:55:00,ECONOMY
10,10188.0,AI,32N,DEL,MAA,2025-11-17T07:45:00,ECONOMY
10,10188.0,AI,32N,DEL,MAA,2025-11-17T06:00:00,ECONOMY
10,10968.0,AI,32N,DEL,MAA,2025-11-17T20:00:00,ECONOMY
10,11270.0,AI,32N,DEL,MAA,2025-11-17T09:55:00,ECONOMY
11,9918.0,AI,32N,DEL,MAA,2025-11-18T17:55:00,ECONOMY
11,9918.0,AI,32N,DEL,MAA,2025-11-18T02:30:00,ECONOMY
11,9918.0,AI,32N,DEL,MAA,2025-11-18T07:45:00,ECONOMY
11,9918.0,AI,32N,DEL,MAA,2025-11-18T09:55:00,ECONOMY
11,9918.0,AI,321,DEL,MAA,2025-11-18T21:00:00,ECONOMY
11,9918.0,AI,32N,DEL,MAA,2025-11-18T06:00:00,ECONOMY
11,9918.0,AI,32N,DEL,MAA,2025-11-18T12:15:00,ECONOMY
11,9918.0,AI,32N,DEL,MAA,2025-11-18T13:40:00,ECONOMY
11,9918.0,AI,77W,DEL,MAA,2025-11-18T16:15:00,ECONOMY
11,10477.0,AI,319,DEL,PNQ,2025-11-18T17:40:00,ECONOMY
12,9918.0,AI,32N,DEL,MAA,2025-11-19T17:55:00,ECONOMY
12,9918.0,AI,32N,DEL,MAA,2025-11-19T02:30:00,ECONOMY
12,9918.0,AI,32N,DEL,MAA,2025-11-19T07:45:00,ECONOMY
12,9918.0,AI,321,DEL,MAA,2025-11-19T21:00:00,ECONOMY
12,9918.0,AI,32N,DEL,MAA,2025-11-19T12:15:00,ECONOMY
12,9918.0,AI,32N,DEL,MAA,2025-11-19T13:40:00,ECONOMY
12,9918.0,AI,77W,DEL,MAA,2025-11-19T16:15:00,ECONOMY
12,9918.0,AI,32N,DEL,MAA,2025-11-19T20:00:00,ECONOMY
12,10817.0,AI,320,DEL,JAI,2025-11-19T11:10:00,ECONOMY
12,10968.0,AI,32N,DEL,MAA,2025-11-19T06:00:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T17:55:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T02:30:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T07:45:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T09:55:00,ECONOMY
13,9918.0,AI,321,DEL,MAA,2025-11-20T21:00:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T06:00:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T12:15:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T13:40:00,ECONOMY
13,9918.0,AI,77W,DEL,MAA,2025-11-20T16:15:00,ECONOMY
13,9918.0,AI,32N,DEL,MAA,2025-11-20T20:00:00,ECONOMY
14,9452.0,AI,320,DEL,JAI,2025-11-21T11:10:00,ECONOMY
14,9918.0,AI,32N,DEL,MAA,2025-11-21T02:30:00,ECONOMY
14,9918.0,AI,32N,DEL,MAA,2025-11-21T07:45:00,ECONOMY
14,9918.0,AI,32N,DEL,MAA,2025-11-21T09:55:00,ECONOMY
14,9918.0,AI,321,DEL,MAA,2025-11-21T21:00:00,ECONOMY
