Total Price,Last Day to Book,Airline,Aircraft,Departure Airport,Departure Time,Arrival Airport,Arrival Time,Cabin
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T17:55:00,MAA,2025-11-20T20:40:00,ECONOMY
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T02:30:00,MAA,2025-11-20T05:20:00,ECONOMY
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T07:45:00,MAA,2025-11-20T10:35:00,ECONOMY
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T09:55:00,MAA,2025-11-20T12:45:00,ECONOMY
9918.00,2025-11-06,AI,321,DEL,2025-11-20T21:00:00,MAA,2025-11-20T23:50:00,ECONOMY
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T06:00:00,MAA,2025-11-20T08:55:00,ECONOMY
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T12:15:00,MAA,2025-11-20T15:10:00,ECONOMY
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T13:40:00,MAA,2025-11-20T16:35:00,ECONOMY
9918.00,2025-11-06,AI,77W,DEL,2025-11-20T16:15:00,MAA,2025-11-20T19:10:00,ECONOMY
9918.00,2025-11-06,AI,32N,DEL,2025-11-20T20:00:00,MAA,2025-11-20T22:55:00,ECONOMY
